AF3_alpha_abs,AF3_alpha_rel,AF3_entropy,AF3_cog,F7_alpha_abs,F7_alpha_rel,F7_entropy,F7_cog,F3_alpha_abs,F3_alpha_rel,F3_entropy,F3_cog,FC5_alpha_abs,FC5_alpha_rel,FC5_entropy,FC5_cog,T7_alpha_abs,T7_alpha_rel,T7_entropy,T7_cog,P7_alpha_abs,P7_alpha_rel,P7_entropy,P7_cog,O1_alpha_abs,O1_alpha_rel,O1_entropy,O1_cog,O2_alpha_abs,O2_alpha_rel,O2_entropy,O2_cog,P8_alpha_abs,P8_alpha_rel,P8_entropy,P8_cog,T8_alpha_abs,T8_alpha_rel,T8_entropy,T8_cog,FC6_alpha_abs,FC6_alpha_rel,FC6_entropy,FC6_cog,F4_alpha_abs,F4_alpha_rel,F4_entropy,F4_cog,F8_alpha_abs,F8_alpha_rel,F8_entropy,F8_cog,AF4_alpha_abs,AF4_alpha_rel,AF4_entropy,AF4_cog,label
8.657641089816176e-05,0.19856719846318446,0.8716830549626949,9.93082025026264,9.174740228609169e-05,0.16503798439930023,0.8935881487379931,10.400624246331798,0.0002499491689911447,0.16002745018970216,0.8673042919018409,9.841826771853968,0.0001599542473512207,0.14510048705951129,0.9041581879478339,10.119413268262345,0.0006103270499195622,0.1770239502567833,0.8580364381048694,10.680216551197622,0.0002796943048824611,0.14096509291392503,0.9332286698932529,10.327476092272352,0.0003126495551748044,0.1397265621737047,0.9189729993345355,10.51312581478683,0.000747453222029688,0.20053335248989312,0.87169216672109,10.75177318785006,0.0007711566440755855,0.1745788957023179,0.8735662110489321,10.704827220172252,0.0008400266185570884,0.25745847139932665,0.8857735124216373,10.114188206018767,0.0005405309698527131,0.27926985049753705,0.8998492834814737,9.9715470769857,0.00034790041511511015,0.15635172298288794,0.9218244087329385,9.678850153804213,0.0003041282694124382,0.2696247056910692,0.8889861436350103,9.84049702635761,0.0001235278019748997,0.1635564995669996,0.904898930188927,9.626976072533997,0
8.016961648639278e-05,0.17310549744510742,0.8377507250632736,9.945093058255638,9.195952862484959e-05,0.16270854420277397,0.8634587448328817,10.502568559768344,0.00017164653409168986,0.11708530246763525,0.890318250118866,9.867922030880804,0.00013115620468807622,0.10896338492552321,0.883730916737689,10.474570150072378,0.0006285723127543782,0.19657258818935336,0.8669320109359284,10.75678168623425,0.0003379813779028621,0.15240284669116114,0.9215824193092426,10.21227136480308,0.0003690007923234719,0.17457853654700692,0.9326676262553717,10.509325854352976,0.0004484923826321756,0.14150463404922328,0.8776849010482101,10.91580403332234,0.0005214146140213231,0.14070816663038851,0.8896220143331937,10.523848275505308,0.0006350266084116178,0.23594931207410444,0.8850920017718783,9.89653333997877,0.000369358546403604,0.20614118546008275,0.8880413592565192,9.55776794308429,0.0002698278833827259,0.13998787351894668,0.9178904414717207,9.476667049305066,0.0002155813419442416,0.21428910965291523,0.8886420803375689,9.496776142867109,0.00010622852636669181,0.15751755762520556,0.8779601844325469,9.546313042020586,1
7.279225040161136e-05,0.19300558844388602,0.8416930785370633,9.965856077083743,8.221915463212451e-05,0.16872462741949365,0.8658386258877809,10.543688784759153,0.00012290980730661542,0.10650461320663601,0.8880431270352847,10.09295475328664,0.0001255022535235046,0.11177932206811698,0.8994709350207998,10.462065113378856,0.0005858555005059266,0.2464760874931083,0.8603854695239361,10.845213606448224,0.0002732489339262491,0.12109502312300612,0.9163657438284343,9.764202630099069,0.00037544204728519077,0.189569428107242,0.9232418012821391,10.408110774149787,0.00035831618445743524,0.11790148932435776,0.8852928195207678,10.717052159284295,0.0004198955165341472,0.10578027181336938,0.8926470315330167,10.329948025210735,0.00047285264993259847,0.20258788417046564,0.8844225025977654,9.560061274279917,0.00031189972725618656,0.1869495121507657,0.8863639164964905,9.57676985558024,0.0002070332121377625,0.13343829563409718,0.9112223870512962,9.70902006580314,0.00017843951205819006,0.202012209598811,0.8959265454540931,9.47005293824334,8.903868146577956e-05,0.17369298803222225,0.85780461685291,9.523319586929649,1
4.760733708641634e-05,0.153913229274233,0.8564037851085371,9.62071204814243,5.805124955608226e-05,0.13825465358910213,0.8596126940112757,10.042545266981065,0.0001317366790336946,0.12978835772706152,0.8911794358430304,9.86511561512609,8.038882943427124e-05,0.0891257292791594,0.8764169934345187,9.771760948719999,0.0002833766451364923,0.1413934646283348,0.9057990469327174,10.373783321532768,0.0002723530869461263,0.12699370167577775,0.9144996680857921,9.70868267054908,0.00042698611936123993,0.24402784174415088,0.9108450650649824,10.23693522122929,0.0004517871760295364,0.185547406461352,0.9030218647462012,10.394359061304604,0.0004727883836512694,0.13378750174204315,0.8832923280394116,10.23982871878662,0.00046874406775237077,0.21309326275540394,0.8637536513440451,9.61738392383421,0.0003350392030022393,0.21122801589754187,0.865379399914002,9.515154643009492,0.00022453269132558824,0.1504576634381438,0.9055787132554008,9.74180454333284,0.00018347378952210643,0.216202282757339,0.8794084556653041,9.433095530373706,8.477843538360149e-05,0.16469613399799726,0.8648235649906301,9.642632589674207,1
3.55133118327807e-05,0.11475749967358487,0.839148897007458,9.998165684742043,4.3491358043860627e-05,0.10832923719491795,0.8373284255356312,10.318761913593951,0.00012208054089304763,0.10614619742961352,0.8662362458499697,9.855795361245208,6.396023932826899e-05,0.07100026065913351,0.829305526639194,9.813341706757733,0.00018926068834021785,0.09956922817373866,0.8903349564300416,10.188680072400107,0.00020785482581307655,0.0891152256607088,0.8723891852146229,10.0771729847211,0.00035098998118541526,0.20139539260541248,0.8901281299119798,10.152833436836351,0.0004408100803038966,0.20500760589729916,0.9060257657340959,10.661256125860811,0.00046649212352391743,0.14158733804030407,0.8823037070314566,10.316704168124499,0.0003731893687828395,0.1819505971162345,0.8651846929832485,10.005316016844983,0.0003072879317789925,0.19239966991901697,0.8624504646500194,9.861548860535187,0.0002324847201145186,0.14107602528058025,0.8904128842924579,9.888510664094747,0.0001669620906024716,0.1943352699835587,0.8704582120773685,9.825533463430983,7.571597631244898e-05,0.147161298945558,0.8569113597711162,9.918219105235481,1
2.61309395394774e-05,0.10519005038281157,0.895249985198027,10.166605655517241,4.14296063840834e-05,0.11745743880155769,0.8954974406015398,10.341634904612913,0.00011722940143902398,0.11220882136877484,0.8970701361717981,9.960918514463042,6.891329078877083e-05,0.0923325124588611,0.8414671541197066,10.03228117500932,0.000188024726996278,0.11011128527081941,0.931072614075453,9.776871036538651,0.00023568824492917827,0.10752400784536993,0.872748261576943,10.862299655982364,0.0003450897894677761,0.1871069618899791,0.9329738808126384,10.477433332988078,0.0004596776627460212,0.20605537555823888,0.9118491017972543,10.495254273505399,0.0004633593451588752,0.13922760383712474,0.8833586518285369,10.037157058191774,0.0003592993379886401,0.1699290421109592,0.8734925009032681,9.723329775531678,0.00023477350879287198,0.18292503941041344,0.9113603184529017,10.027909976450745,0.0001700330281544742,0.11036794442418925,0.9170364256570783,9.938739505462644,0.00012887797966651372,0.17181227528841797,0.9011665029125889,10.055109108846835,4.2493148087119595e-05,0.10226645116281817,0.9097567595307101,10.029786291550492,1
2.4913688880946248e-05,0.11646139829718632,0.8941808599439016,10.076561131471042,4.322523468749068e-05,0.14122034031882807,0.9053105906805371,10.217231645234891,0.00010732516725246735,0.10709852933731849,0.904030923041338,9.878949771775508,6.196479183252517e-05,0.10533934657664616,0.8515949417781058,9.926196799325718,0.00019710000592847973,0.10073237505476053,0.9103432150633617,9.915517053117455,0.00028947845078913586,0.1379681325243421,0.8542619955198532,11.555120895234817,0.0003081916987605813,0.15369086379681107,0.936413974452165,10.66358992856573,0.00041628567365711356,0.18310287132266329,0.8956118883584798,10.346808230994762,0.0004357900781769931,0.13145728640478446,0.8639925115349089,9.701101113541409,0.00041038791162700713,0.17925794290799796,0.8642243300091502,9.596744265710791,0.0002169960521620934,0.18102643287845363,0.9076525619114564,10.019519957703405,0.000128555898303072,0.08778823167766901,0.9134931994728603,9.921173285032433,0.00015140661408797153,0.2022022424771561,0.8742184703675158,10.076313234548545,3.754425402526548e-05,0.09169188175904576,0.9122759928639868,10.14514243511843,1
3.259014916027679e-05,0.14137759762973742,0.8824708204251205,10.41436549839234,5.5713388219819376e-05,0.16204032918971734,0.9204563140247246,10.671645048436519,8.289141904698348e-05,0.08038638084088022,0.9065553253244805,10.21540348120205,6.56334120678734e-05,0.10398233007709934,0.9086431143346775,10.788081670585738,0.0003502372674487314,0.15858827249106258,0.9129322583481501,10.221950398170662,0.00027856886023414795,0.13193375669478932,0.8575073801840452,11.530172424567152,0.00021719308008372464,0.11592272521312526,0.9275157348706919,10.876496939905154,0.00030922375462108607,0.13232034301582302,0.8806158729171383,10.414135899621565,0.0003740906051181024,0.10947857192757654,0.8497586789480044,9.234128574481963,0.00041724348194970256,0.1810511109089008,0.8306643054031208,9.302800150635607,0.00018054395218542471,0.14897006014901856,0.9133027581450496,10.4246879371021,0.00010107578154526354,0.0667772907646414,0.8900633283870476,10.565728597560472,0.00014636114532381685,0.1836719207126202,0.8707992226914694,10.382655194149063,4.726005206782873e-05,0.11203540799298452,0.8939078936750312,10.601607678737953,1
3.4460552450146195e-05,0.17159268186162535,0.8699278327214838,10.580506777641371,5.4027648875398504e-05,0.1575860781700678,0.9112828559781697,10.809801815210056,9.976054380680885e-05,0.1148209776916882,0.909736992424218,10.25404613112882,8.523518442265287e-05,0.16101888968225808,0.9494504388682258,11.06986908342928,0.00037721026971214346,0.1694274316686239,0.8983518510181209,10.273870176232263,0.00030561938942615607,0.16844885098185572,0.8757553871984266,11.26928816197475,0.000252259090518851,0.14424177163340857,0.9253850402696667,10.912562874117564,0.0002656162267744188,0.12041126562817925,0.8784533237202082,10.124395732039341,0.00037996053597602836,0.11585042949733544,0.8505146574456068,9.06890770388674,0.0004500399394275356,0.20544074611792565,0.84341329852578,9.34916779311055,0.00015109612144170349,0.13630942434323798,0.9125440663140576,10.554324145212098,0.0001179498987877082,0.0942056639801779,0.8815137978553338,10.648479243329055,0.00013640928740521463,0.18129285193622738,0.8619007849274293,10.539342612987083,5.407461282786042e-05,0.14592746363250186,0.8779842408571513,10.91599134879906,1
3.2466781744697856e-05,0.1590742827222858,0.8635385651342734,10.822009993225807,5.904034347119287e-05,0.1652005675762039,0.88828577434611,11.267089982754765,0.0001384618880830909,0.16643986514837245,0.9124910584146764,10.294317087781133,8.298576209747339e-05,0.16602864502686346,0.8942177473428561,11.28612757372805,0.000372901637534693,0.15273372361553678,0.8927237536796478,10.742070175275373,0.0002282392138902036,0.12300515155707925,0.8998139441063846,10.678180771867924,0.000220572659020724,0.1412696564779166,0.9292607001472315,10.360002131076511,0.00026820236884584606,0.127056795690473,0.8947890550409971,10.321672560677271,0.00034998517902405755,0.11208616568092536,0.869442573592553,9.187562039911068,0.000407405294110073,0.19571475871100324,0.8723075973690831,9.658624787501715,0.00014942796597830856,0.1241810326596764,0.9155533826101528,10.739742324509967,0.00014980342695289437,0.12066846605305637,0.8875725082533691,10.744517265730249,0.00014550293546820994,0.18812175884874022,0.8621689618937659,10.884159435474082,8.126411425169118e-05,0.19107028961216832,0.8755986126052058,11.271970049226473,1
