TSP_spatial_abs,TSP_spatial_rel,TSP_entropy,TSP_cog,label
3.109684631495206,0.20947251186763807,0.9973888589404346,2.0015498029575056,0
3.3675299286298044,0.22146821043978426,0.9952004166074585,1.9310603422595625,1
2.863311154734926,0.20338260039655548,0.998121840252614,2.034032158823386,1
1.6667076065125177,0.1782114076214842,0.999709161550166,2.1876275934056846,1
1.0309993190007187,0.15099026227540252,0.9972788666013989,2.3755314133789054,1
0.8175702548146433,0.1409921781580953,0.9953665997796548,2.433798318709729,1
0.7845045281787411,0.14817657876801194,0.9970113668592087,2.378867243341865,1
0.7757493895767148,0.14621294909698976,0.996736879493021,2.3855832250877445,1
0.7727509861517485,0.14821243458022915,0.9971366973874742,2.369713084093284,1
0.8137492752708106,0.15408849045307604,0.9978779346680224,2.349590782407509,1
0.9467592892636882,0.15664265917705497,0.9981537118426487,2.340813017841181,1
1.0859183251210018,0.15556796032418344,0.997896279125259,2.354329666224236,1
1.1672730728792906,0.14914708542325666,0.9967836424870249,2.3953892474876675,0
1.343670682269461,0.1272684555123089,0.9918585740306772,2.513454698069586,0
1.151307002397687,0.11846709998414959,0.9888691198850839,2.5695162143121726,0
0.9875830998550346,0.10856633232888911,0.9838551980770585,2.6544941154194537,0
1.0069656564009752,0.11293757772008269,0.9852785257672004,2.6367996611315196,0
1.351381036781414,0.14426432867909242,0.995442282523956,2.439541277857226,0
1.562863698347193,0.16523356247064055,0.9988485733531822,2.3148805136211306,0
1.8310588685827636,0.19782140788241653,0.9993626027430745,2.095945779316536,1
1.713940119328414,0.1949285470748832,0.9993145115833818,2.098514988894124,1
1.48384500568454,0.18662500755377773,0.9997015526669649,2.1454967294646026,1
1.6208690827491503,0.1853871959829624,0.9996776799212954,2.148617812265432,1
1.4898474637751347,0.16936765513175864,0.9994660822185385,2.2604438686945385,1
1.421869717462297,0.16233586522121715,0.9987483628501911,2.315233713448573,0
1.021972134396555,0.143934544387331,0.9954094103562294,2.439917966878655,0
0.8040126126071614,0.12877899305972124,0.9908909218270663,2.54425038639259,0
0.7592773882052002,0.1227385589645123,0.9889467959100294,2.5792220020775543,0
0.8134978285492098,0.1275735532148884,0.9909220924026969,2.5415535895420343,0
0.9208595869663017,0.1217683279303877,0.9881196989727766,2.5953187592441402,0
